prompts,answer
Which pseudonymous artist's most valuable works include Kissing Coppers and Vandalised Phone Box?,Banksy
how is ASP.NET different from .NET,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .
Horrible Airport Like It Smell Like Throw Up Not Nice pple are Rude Not Clean Restrooms Just a Sad Place Never Flying there Again,
how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota )."
what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions."
what domain is eu,.eu is the country code top-level domain (ccTLD) for the European Union (EU).
How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents."
how many gold gloves does barry larkin have,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards ."
how did seminole war end,"Ultimately, the Spanish Crown ceded the colony to United States rule."
what creates sonic boom,A sonic boom is the sound associated with the shock waves created by an object traveling through the air faster than the speed of sound.
how is rfid tag powered,Some tags are powered and read at short ranges (a few meters) via magnetic fields ( electromagnetic induction ).
what does an advocacy website promote?,"Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions."
what culture is mariah carey,"Mariah Carey (born March 27, 1970) is an American singer , songwriter , record producer , actress , and philanthropist ."
What causes rogue waves,"Rogue waves seem not to have a single distinct cause, but occur where physical factors such as high winds and strong currents cause waves to merge to create a single exceptionally large wave."
what do pigs eat,Pigs are omnivores and are highly social and intelligent animals.
how does weather happen,Weather is driven by air pressure (temperature and moisture) differences between one place and another.
what causes thunder sound,Thunder is the sound caused by lightning .
what are corporation balance,"A balance sheet is often described as a ""snapshot of a company's financial condition""."
who wrote white christmas,"""White Christmas"" is an Irving Berlin song reminiscing about an old-fashioned Christmas setting ."
what are superannuation contributions?,Superannuation in Australia refers to the arrangements which people make in Australia to have funds available for them in retirement .
when barack obama was born,"Barack Hussein Obama II (; born August 4, 1961) is the 44th and current President of the United States , the first African American to hold the office."
what people used mayan numeral system,Maya numerals are a vigesimal ( base - twenty ) numeral system used by the Pre-Columbian Maya civilization .
when did gary moore die,"Robert William Gary Moore (4 April 1952 – 6 February 2011), was a Northern Irish musician, most widely recognised as a singer and guitarist."
who won antm cycle 12,"The winner was 20-year-old Teyona Anderson from Woodstown, New Jersey ."
what are warehouse spreadsheets used for,"The data stored in the warehouse are uploaded from the operational systems (such as marketing, sales etc., shown in the figure to the right)."
when did xbox release,"It was released on November 15, 2001 in North America, February 22, 2002 in Japan, and March 14, 2002 in Australia and Europe."
when does v start,"V is an American science fiction television series that ran for two seasons on ABC , from November 3, 2009 to March 15, 2011."
"what is ""thin film"" technology",A thin film is a layer of material ranging from fractions of a nanometer ( monolayer ) to several micrometers in thickness.
what zones are tropical,The tropics is a region of the Earth surrounding the Equator .
when did charles dickens live,Charles John Huffam Dickens (; 7 February 1812 – 9 June 1870) was an English writer and social critic.
when do solar eclipses happen?,"As seen from the Earth , a solar eclipse occurs when the Moon passes between the Sun and Earth, and the Moon fully or partially blocks ("" occults "") the Sun."
when did andrea doria sink,"Pronounced was an ocean liner for the Italian Line (Società di navigazione Italia) home ported in Genoa , Italy, most famous for its sinking in 1956, when 52 people died (51 from immediate impact)."
what are club seats,"They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes."
when the wind blows james patterson,When the Wind Blows is a novel by James Patterson .
what are lobbying groups,"Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies ."
who sang cool jerk,"""Cool Jerk"" is a popular song written by Donald Storball and originally performed by The Capitols ."
who sang sun city,"""Sun City"" is a 1985 protest song written by Steven Van Zandt , produced by Van Zandt and Arthur Baker and recorded by Artists United Against Apartheid to convey opposition to the South African policy of apartheid ."
when monopoly came out,"The earliest known design was by the American, Elizabeth Magie , patented in 1904 but existing as early as 1902."
when does a demand curve shift?,"In economics , the demand curve is the graph depicting the relationship between the price of a certain commodity and the amount of it that consumers are willing and able to purchase at that given price."
What is Ischemia or infarction?,Vascular ischemia of the toes with characteristic cyanosis .
when was everybody hates chris made,"Everybody Hates Chris is an American television period sitcom that depicts the teenage experiences of comedian Chris Rock (who is also the narrator ) while growing up in the Bedford-Stuyvesant neighborhood of Brooklyn, New York ."
what is cubic ft,"The term cubic foot is an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom."
what is civil engineering aBOUT,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings."
what is bones job,"The show is based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel )."
what is lean manufacturing and who developed,"Lean manufacturing, lean enterprise, or lean production, often simply, ""Lean,"" is a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination."
where is testosterone produced,"Testosterone is a steroid hormone from the androgen group and is found in mammals, reptiles, birds, and other vertebrates ."
who is norah jones parents,She is the daughter of Indian sitar player Ravi Shankar and Sue Jones.
where  is kj 52 from,"Jonah Kirsten Sorrentino (born June 26, 1975), better known by his stage name KJ-52, is a Christian rapper from Tampa, Florida ."
what is leasehold; real estate,A leasehold estate is an ownership of a temporary right to hold land or property in which a lessee or a tenant holds rights of real property by some form of title from a lessor or landlord .
what is primary medicine,Primary care may be provided in community health centres.
when is halley's comet next,Halley's Comet last appeared in the inner Solar System in 1986 and will next appear in mid-2061.
what is eic earned income credit,"The United States federal earned income tax credit or earned income credit (EITC or EIC) is a refundable tax credit for low- and medium-income individuals and couples, primarily for those who have qualifying children."
WHAT IS NON BINDING?,"Non-binding arbitration is a type of arbitration in which the arbitrator makes a determination of the rights of the parties to the dispute, but this determination is not binding upon them, and no enforceable arbitration award is issued."
who discovered neptune the planet,"With a prediction by Urbain Le Verrier , telescopic observations confirming the existence of a major planet were made on the night of September 23–24, 1846, at the Berlin Observatory , by astronomer Johann Gottfried Galle (assisted by Heinrich Louis d'Arrest ), working from Le Verrier's calculations."
who sang proud mary,"""Proud Mary"" is a rock song written by American singer-songwriter and multi-instrumentalist John Fogerty , and recorded by his band Creedence Clearwater Revival ."
what religion is westminster abbey,"The Collegiate Church of St Peter at Westminster, popularly known as Westminster Abbey, is a large, mainly Gothic church, in the City of Westminster , London , located just to the west of the Palace of Westminster ."
what season is  dexter on,"After months of rumors, on April 18, 2013, Showtime announced via social media that season eight would be the final season of Dexter."
who makes triumph motorcycles,"Triumph Engineering Co Ltd, a defunct British motorcycle manufacturer"
what are garnishments,"A garnishment is a means of collecting a monetary judgment against a defendant by ordering a third party (the garnishee) to pay money, otherwise owed to the defendant , directly to the plaintiff ."
what is stepwise linear regression,"In statistics , stepwise regression includes regression models in which the choice of predictive variables is carried out by an automatic procedure."
what is bilirubin total,Bilirubin (formerly referred to as hematoidin) is the yellow breakdown product of normal heme catabolism .
Condensation over night,can lead to slippery grass
Beach balls contain,carbon dioxide
The spinal cord contains,electrically excitable cells
Tsunamis,can rearrange coastal shorelines
A stopwatch is helpful,when tracking split times on runs
What causes orbits?,planetary pull
Melting of polar icecaps will,cause the loss of animal habitats
Many families survive the winter thanks to,furnace
Human astronauts have visited,the closest celestial object to earth
Water evaporates less,in a basement
Taking shorter hot showers,will aid in preserving the water supply
As a liquid's temperatures get hotter,ice cream will deliquesce faster when the liquid is poured over it
Some pupa may,go into sand
Silver nitrate on hardened silicon will force light to,refract
Several animals flourish in cold temperatures like,Terns
the moon rising occurs,7 times a week
smoking will directly affect what?,intensity of cough
positively impact your bodies strength by,dead-lifting
Bananas spread their chromosomes because of,bats
A granite counter top,is made of minerals
Slate probably formed,deep within the earth
Plateaus are typically,frequented by lightening
Diverting overflow from a reservoir through pipes generates,hydropower
A horse barn fire,damages the structure and animals trapped inside
A lizard has young,in shells
Which feels hotter?,"90 degrees Fahrenheit, high humidity"
What pattern best describes most migration?,north to south
A reflective surface fogging up is,condensation
Chewying and swallowing a steak,breaks it down
An unseen force tugs at celestial bodies giving them,a trajectory
A faucet drips,melted ice
Nerves all have,microscopic parts
MRIs can make,fillings dance
Overpopulation may result,from a boom in reproduction of an organism
Wide tree rings mean,thriving
A microscope uses refraction to increases,perception of objects
animals learn some behaviors from watching their,caretakers
An electromagnet contains cylindrical what?,plate armor
Which relationship involves inheritance of genetics?,mother-daughter
Japan made Pearl Harbor,it's victim
All plants require this,H2O
A decomposer might thrive more on,Old turkey
To make hydropower you need,to stop or slow moving water
Coral get their ____ from algae,vibrance
More sleep leads to,sense of well-being
A brick wall stops,lumens
What conducts electricity?,suit of armor
Which contain seeds?,mandarins
What tastes flavors?,flamingos
Landfills can cause,bad odors
Controlled burns help prevent wildfires by cleaning up,dead foliage
What are predators?,meat devourers
What best explains a muddy road becoming dry later?,evaporation
What did Clarice Cliff create?,Pottery
The word anchorman was credited by Sig Michelson about which CBS News Legend?,Walter Cronkite
Which record company signed Fabian?,Chancellor
Which Gloria co-founded Ms magazine?,Steinem
Which singer married director Blake Edwards?,Julie Andrews
Which three elements make up carbohydrates?,"Carbon, Hydrogen and Oxygen"
How did Tollund Man die?,Strangulation
Which tribe did Crazy Horse lead?,Sioux
Who manned the first plane flight?,The Wright Brothers
Car batteries usually have what voltage?,12 volts
Who famously left from Scampton?,The Dam Busters
Which Dickens hero went to Salem House School under headmaster Mr Creakle?,David Copperfield
Used in brewing what is Humulus Lupulus?,The Hop Plant
The Gasworks Gang were which comic paper character’s sworn enemies?,Lord Snooty
Which Cabinet minister fathered Flora Keays by his secretary?,Cecil PARKINSON
Which prizes does Harvard award annually for trivial achievements in scientific research?,Ig Nobel Prizes
Which cry always opened the Billy Cotton Band Show?,Wakey Wakey
Which city stages the annual Celtic Connections festival?,Glasgow
Which pub group owns the Toby Carvery chain?,MITCHELLS AND BUTLERS
"What does J.I.T. mean , applied to production scheduling ?",JUST IN TIME
Car exhaust fumes contain mainly what poisonous gas?,Carbon monoxide
What recent wine-making country produces varieties from its Maharashtra region?,India
"What is Python for Google, Yahoo, Youtube and many major online corporations?",Programming language
"Gatka, Mardani khel, Musti yuddha, and Silambam are?",Indian martial arts
Extragalactic refers to beyond the?,Milky Way
What number features most prevalently internationally in toll-free or 'freefone' telephony?,800
"What tool has a grind, spine, fuller and ricasso?",Knife
The Weber and Tesla (standard international) measurement units apply to?,Magnetism
What potent plant is called technically Papaver somniferum?,Opium poppy
Vermicular refers to patterns or movements like?,Worms
The Swiss-founded Hublot corporation famously provides certain major sports events?,Timekeeping
The web 'error' code 404 means?,Not found
What term did former Yahoo! vice-president and author Seth Godin originate whereby potential customers 'opt-in' to receive advertising?,Permission marketing
Where was gridiron football developed?,USA
What motive power does a yacht commonly use?,Wind
Always leaving incredibly happy,
Fantastic martinis!!,
Mug club 70360,
Hells yeah!,
Home sweet home!!,
no air conditioning??,
"Which drama featured Michael Pallin, Robert Lindsay, & Julie Walters as Lindsay's mum?",GBH
‘He’s all England needs – another queen who can’t dress’ by Joan Rivers?,Boy George
Which well known cheese is transported in cyclindrical wood-chip boxes.,Camembert
Which French painter fractured both thigh bones in his teens leaving him deformed?,Toulouse-Lautrec
RHB. The Coast-to-Coast walk finishes at which coastal village?,ROBIN HOOD’S BAY
"Scoop, Muck, Roley and Lofty are whose vehicles?",Bob the Builder
In language the term ellipsis refers to missing/omitted what?,Words
To what very common consumer items do the IEC codes R6 and R03 and equivalent ANSI codes AA and AAA refer?,Batteries
what is mpeg4  avc or sp/asp,"H.264/MPEG-4 Part 10 or AVC (Advanced Video Coding) is a standard for video compression , and is currently one of the most commonly used formats for the recording, compression, and distribution of high definition video ."
Which American economist is the foremost advocate of monetarism?,Milton Friedman
On average who's hearts beat faster; men or women?,Women
Which business directory had the ‘Walking Fingers’ logo?,Yellow Pages
Which economic law says ‘Bad money drives out good’?,Gresham’s Law
A mutated MC1R gene causes what physical trait?,Red Hair
Which number do bingo callers link with “The Brighton Line”?,59
In which adventure story does the magistrate Dr Livesey feature?,Treasure Island
What bridge connects Dawes Point to Milson's Point?,Sydney Harbour Bridge
What language is 'Jeg elsker dig' ?,Danish
Wainwrights were craftsmen who made what?,Wagons
"Hughie Jones, Cliff Hall, Mick Groves and Tony Davis comprised which top folk line up?",The Spinners
What York-based Quaker family created several substantial social reform trusts as a legacy of its chocolate business?,Rowntree
how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .
how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India ."
How many consecutive games did Ken Jennings win?,"In 2004, Jennings won 74 Jeopardy!"
how many kids does archie manning have,"He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning ."
where did mark jackson play pro basketball?,"A point guard from St. John's University , he played for the New York Knicks , Indiana Pacers , Los Angeles Clippers , Denver Nuggets , Toronto Raptors , Utah Jazz and Houston Rockets in the NBA in a career spanning from 1987 to 2004."
where do women ejeculation exactly coming from,Female ejaculation is the expulsion of fluid by human females from the paraurethral ducts through and around the female urethra during or before an orgasm .
where is loxahatchee fl at,"Loxahatchee is a community located in Palm Beach County , Florida , United States ."
where is UWA on world list of universities,"One of Australia's best and most prestigious universities, UWA is highly ranked internationally in various publications; the 2011 QS World University Rankings placed UWA at 73rd internationally."
Winter snows follow Autumn's falling leaves by,three months
A nail can attach to metals after it receives,electricity
What impact does humans changing animals habits have?,inimical
Reducing bacteria in food prevents what?,maladies
Perspiration leaving the torso through evaporation helps,cool it down
Blood gets directed around beneath skin and bone by,long passages
hunting means humans stalk and murder animals in,the sahara
A tiger with a stubby tail most likely,had ancestors with that trait
Flowers make themselves attractive to hummingbirds with,an optimal angle
Electric cars can have _______ and still run,empty juice
Which are all likely enabled by rock folding?,"the Himalayas, spelunking, and valleys"
Which broadcasting company did Edward J Noble found?,ABC
What tube connects the kidney to the bladder?,Ureter
Which objects in space emit energy in pulses?,Pulsars
Familiarity breeds contempt - and children.,Mark Twain
For whom did Paul McCartney write Hey Jude?,Julian Lennon
What is Springfield’s neighbouring rival town called?,Shelbyville
Which group recorded the early heavy-metal classic Very 'Eavy Very 'Umble?,Uriah Heep
Which canal connects Antwerp with Liege?,Albert Canal
Which engineer first used the term Horsepower?,(James) WATT
Yellow Fever is generally carried/transmitted by?,Mosquito bite
Gargoyles on buildings traditionally support?,Guttering
Amazon's next-day delivery service censured for breaching UK advertising standards is?,Prime
The Virgin space tourism business is branded?,Galactic
What bodily process breaks food down into nutrients?,Digestion
What native language would Jesus Christ have spoken?,Aramaic
"""What """"moon"""" traditionally follows a wedding?""",Honey
Bodyboarding is recorded among Hawaiians when?,1778
Where was opera singer Maria Callas born?,USA
Whose musical works included Composition For Orchestra and Philomel?,Milton Babbit
Which political commentator has presented both Weekend World and A Week in Politics?,Peter Jay
"Where, theoretically, might one find objects squeezed to an infinite density?",Black Hole
Mick Robertson and Jenny Handley presented which Children's TV Programme?,Magpie
How many roles did Alec Guinness play in Kind Hearts And Coronets?,8
What subject does Catherine Tate’s character teach in ‘Big School’?,FRENCH
Which film sees the brothers Marcus Et Spencius slave trading company?,Carry On Cleo
"Clipper, Brigantine, Corvette, and Schooner are?",Sailing ships
What creatures in Scandinavian folklore have evil powers and malevolent dispositions?,Trolls
For ASU gear: shop at Team Sports USA - authentic merchandise.,
"Lockheed Martin, Raytheon, and General Dynamics are notable corporations in what sector?",Armaments
"What controversial process uses a 'proppant' with 'slickwater' or gel/foam including additives such as hydrochloric acid, guar gum, radioactive tracers?",Fracking
Shi Go Roko ('she go rocko') is 'four five six' in?,Japanese
"Dragonflies have the sharpest vision of any insect, each compound eye having how many lenses?","30,000"
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .
what does base jumping stand for,"BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall."
what do cyberstalkers do,"Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization."
who can file suspicious activity report,"In United States financial regulation , a suspicious activity report (or SAR) is a report made by a financial institution to the Financial Crimes Enforcement Network (FinCEN), an agency of the United States Department of the Treasury , regarding suspicious or potentially suspicious activity."
where did erisa come from,"The Employee Retirement Income Security Act of 1974 (ERISA) (, codified in part at ) is a federal law which establishes minimum standards for pension plans in private industry and provides for extensive rules on the federal income tax effects of transactions associated with employee benefit plans."
what war led to Pearl Harbor,"War between Japan and the United States had been a possibility that each nation's military forces planned for since the 1920s, though real tension did not begin until the 1931 invasion of Manchuria by Japan."
who sung the banana boat song,"""Day-O (The Banana Boat Song)"" is a traditional Jamaican mento folk song, the best-known version of which was sung by Harry Belafonte and an alternate version interspersed with another Jamaican folksong , Hill and Gully Rider, by Dame Shirley Bassey ."
who killed robert kennedy,"Sirhan Sirhan , a 24-year-old Palestinian / Jordanian immigrant , was convicted of Kennedy's murder and is serving a life sentence for the crime."
when did pearl harbor get bombed,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan)."
when did classification of races begin,"First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century."
when did lucy stone died,"Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women ."
when did daylight savings time start,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .
who passed no child left behind,"President Bush signing the No Child Left Behind Act at Hamilton H.S. in Hamilton, Ohio ."
what is steam by valve corporation,"Steam is a digital distribution , digital rights management , multiplayer and communications platform developed by Valve Corporation ."
who is director jack smight,"Jack Smight (March 9, 1925 - September 1, 2003) was an American theatre and film director ."
what is black hairy tongue disease,"Black hairy tongue (BHT, also termed lingua villosa nigra) refers to a condition of the tongue where the filiform papillae elongate with black or brown discoloration, giving a black and hairy appearance."
where are poison dart frog seen,"Poison dart frog (also dart-poison frog, poison frog or formerly poison arrow frog) is the common name of a group of frogs in the family Dendrobatidae which are native to Central and South America ."
what is tmz stand for,"The name TMZ stands for the historic "" studio zone "" or 30-mile zone radius from the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles."
where is kos from?,"Kevin Brereton (born February 20, 1972), better known by his stage name k-os (; ""chaos""), is a Canadian rapper , singer , songwriter and record producer ."
what separates me from you album,What Separates Me from You is the fourth studio album by American metalcore / pop punk band A Day to Remember .
when did freddie mercury die,"Freddie Mercury (born Farrokh Bulsara; Gujarati : ફરોખ બલ્સારા‌, Pharōkh Balsārā‌); 5 September 1946 – 24 November 1991) was a British musician, singer and songwriter, best known as the lead vocalist and lyricist of the rock band Queen ."
when did steven adler play for guns and roses,"He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses , with whom he achieved worldwide success in the late 1980s."
where was jfk buried,"After the Requiem Mass at St. Matthew's Cathedral , the late president was buried at Arlington National Cemetery in Virginia."
What doesn't eliminate waste?,robots
Shorter periods of daylight happen,December to March
what is sonar used for,gathering lost things
Flowers will reproduce more if,more bees make a pit stop at them
As demand for product lags,retailers lose out on revenue
What can melting glaciers deposit?,heaps of crystalline solids
Descending air pressure leads to,an ascending chance of showers
A calf that dies will eventually,disintegrate
A big cat looks for prey,at 11pm
An attraction may be magnetic if,substances find one another irresistible
Competition is fierce among lions,when the antelopes are scare
What does crop rotation renew?,loam
A book experiences tearing so it,has lost status as whole
A tiny sand particle came from,larger mineral chunks
Personal protection equipment is essential when,experimenting with volatile and vaporous liquids
What does pencil lead contain?,stable carbon
A pond of frogs once contained,pollywogs
A coral plant will thrive in,shallows
A parent contributes DNA to their offspring which can result in,freckles
Which can is depleted permanently?,coal
You might recycle plastic by creating,beanies
Sliding off concrete and onto gravel produces higher levels of,chafing
A horse could start trembling when,a cold front is moving in
Which is nonmagnetic?,traffic cone
A peach pit holds the beginning,nutrients
a complete lunar cycle takes about,a month
Porpoises move fastest in,saltwater
Corn would likely provide nutrients to,a raven
An animals brain controls what?,said organism
Obstacles that might impede a dune are,cacti
Maglites use nickle with cadmium to produce,illumination
Where do bees get nutrition?,a powdery substance found in the reproductive parts of plants
A dead giant sequoia,falls down
Blocking a river creates homes for,fish
A retina may be illuminated by,campfires
Water will become vapor quicker in,Mercury
A person avoiding UV rays would,close their bedroom blinds
Why would something appear blue?,it reflects the same wavelength as the sea
Which only needs sparse water?,chuckwallas
A typhoon can potentially cause,overflowing wetness
Elk are protected where?,nat'l parks
reptiles lay what?,oval whites
Vitamin D heals what?,human frame
Where was The Iron Triangle?,Vietnam
What does Volkswagen actually mean?,People's car
In what years did John Henry win the Arlington Million?,1981 & 1984
Who guested in Happy Days where his daughter was playing Jenny Piccalo?,Phil Silvers
Which tennis ace completed his fifth successive Wimbledon singles triumph?,Bjorn Borg
Which classic of English literature sees the heroine marry a farm worker called Angel Clare?,Tess Of The d'Urbervilles.
Who played Aunt Renee in The Frogs Legacy?,Joan Sims
Who crowned Napoleon as Emperor?,He crowned himself
"1978 song , sung by Warren Zevon.",Werewolves of London
Which substance makes bread rise?,Yeast
"Sax Rohmer created which notorious, fictional criminal?",Dr. FU MANCHU
Under what pen name does novelist David Cornwell write?,John le Carré
Which novel tells the tragic story of displaced migrants George Milton and Lennie Small?,Of Mice and Men
What river converges with the River Test at Southampton?,ITCHEN
Where did Panama hats originate?,Ecuador
"Forbidden, unmentionable - from Tongan?",Taboo
What trade uses a pattress or pattress box?,Electrician
"Super, Magic, Brønsted and Lewis are prefixes for chemical substance?",Acid
A cooked lobster changes from?,Blue to Orange
The highest male voice type in conventional singing terminology is?,Countertenor
A standard guitar commonly has fretboard markers for the octave (ie half string length) at what fret?,12th
Who married Sir Winston Churchill?,Clementine Hozier
What attaches muscles to bone?,Tendons
Where do aquatic creatures live?,In water
In 1635 Robert Hooke developed what?,The law of elasticity
What leaves relieve pain caused by stinging nettle?,Dock
beautiful airport- no wall plugs,
"Ashkenazi, Sephardi and Mizrahi are sub-groups of what ethnoreligious people?",Jews
"Who played lead guitar on While My Guitar Gently Weeps, on The White Album?",Eric Clapton
"In Which We Serve, This Happy Breed and Brief Encounter are early films by which director?",DAVID LEAN
"In what academic discipline does Queen guitarist Brian May hold a PhD from Imperial College , London ?",ASTROPHYSICS
will a glacier travel at greater speeds than a sea going vessel?,this is likely to be false
studying a soil sample means studying the microorganisms in the,dirt
When droplets freeze as they assail from high above they become,sleet
Scientists study the red shift to investigate which aspect of cosmology?,The expansion of the universe
What colour ensign is flown on all British merchant navy ships?,Red
Which instrument accompanied “Silent Night”’s first performance?,Guitar
Under whose reign did England lose its last possession on mainland France?,Mary I
Who failed three IQ tests on an LBC radio phone-in?,Boris Johnson
What did Terry Scott’s lovely brother put in grandma’s tea?,Shampoo
How many horns does the British minotaur dung beetle have?,Three
For what is www.letour.fr the official website?,Tour de France
Monsanto is a globally dominant corporation in the sector of?,Agriculture
The human Frenulum Linguae is webbed tissue between?,Tongue/Mouth-floor
Diacritical marks are symbols for guiding/indicating?,Pronunciation
Sepals and Tepals are decorative protective elements of many old?,Flowers
Whose experiential learning theory comprises the learning styles named?,David Kolb
"Huqiu, Tianchi, Pouchong, Longjing and Songluo are Chinese?",Teas
"Theo van Doesberg, Piet Mondriaan, Vilmos Huizar and Bart van der Leck are identified with what art movement?",Neoplasticism
What did Lawrence Joshua Chamberlain do?,"Joshua Lawrence Chamberlain (September 8, 1828 – February 24, 1914), born as Lawrence Joshua Chamberlain, was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army ."
what does Mazel tov! mean,"""good luck"") is a phrase used to express congratulations for a happy and significant occasion or event."
what are american people of japanese descent called,are American people of Japanese heritage .
when did playstation 3 first launch,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.
when is susan smith eligible for parole,"According to the South Carolina Department of Corrections , Smith will be eligible for parole on November 4, 2024, after serving a minimum of thirty years."
where is keith whitley from,"Jackie Keith Whitley (July 1, 1954Stambler, Irwin, and Grelun Landon (2000). - Country Music: The Encyclopedia. - New York: St. Martin's Press. - p.533. - ISBN 978-0-312-26487-1.—Carlin, Richard (2003). - Country Music: A Biographical Dictionary. - New York: Routledge - p.427. - ISBN 978-0-415-93802-0.—Larkin, Colin (1995). - The Guinness Encyclopedia of Popular Music. - New York: Stockton Press - P.4462. - ISBN 978-0-85112-662-3.—Stanton, Scott (2003). - The Tombstone Tourist: Musicians. - New York: Pocket Books. - p.395. - ISBN 978-0-7434-6330-0.—Hicks, Jack. - ""Singer Keith Whitley's Memory Alive Through Songs, Love in Home Town"". - The Kentucky Post . - September 25, 1991.—""Country Music Star Keith Whitley Dead at 33"". - Lexington Herald-Leader . - May 10, 1989.——Hurst, Jack. - ""Whitley's Last Days"". - Chicago Tribune . - May 14, 1989.—""Alcohol Kills Country Singer Keith Whitley"". - United Press International . - (c/o The San Francisco Chronicle ). - May 10, 1989. — May 9, 1989), known professionally as Keith Whitley, was an American country music singer."
when was queen elizabeth ii married,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward ."
when was andy griffith born,"Andy Samuel Griffith (June 1, 1926 – July 3, 2012) was an American actor, television producer, Grammy Award -winning Southern-gospel singer, and writer."
who is heisman trophy named after,"It was created in 1935 as the Downtown Athletic Club trophy and renamed in 1936 following the death of the Club's athletic director, John Heisman (former Brown University and University of Pennsylvania player; head football coach at Oberlin College , Auburn University , Clemson University , Rice University , and the University of Pennsylvania; and football, basketball, and baseball head coach and athletic director at Georgia Tech )."
what is melissa and joey about,"The series follows local politician Mel Burke (Melissa Joan Hart) and Joe Longo (Joey Lawrence), whom Mel hires to look after her niece and nephew after a Ponzi scheme leaves him broke."
what mountains are on appalachian trail,"The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine ."
where is scotty mccreery from,"Scott ""Scotty"" McCreery (born October 9, 1993) is an American country music singer from Garner, North Carolina ."
when was kirstie alley on cheers,"Kirstie Louise Alley (born January 12, 1951) is an American actress and comedian known for her role in the TV series Cheers , in which she played Rebecca Howe from 1987–1993, winning an Emmy Award and a Golden Globe Award as the Outstanding Lead Actress in a Comedy Series in 1991."
Buying permanent things instead of disposable things is,conservation
Desert lizards may sometimes appear as,rock particles
A skin bacterium loses its habitat when,you cut off your finger nails
Some prey animals may elude predators by,being stinky
One component of rock formations in caves is,bat urine
Fossils fuels can be anything like,ancient poo
Living things which require warmth likely also require,kidneys
Where various seasons currently take place depends upon,the globe's turning
Death begins for a leaf the second it,is released
Classes and categories are both part of,designating
What product eventually will become human waste?,corn
As vehicles become more efficient petro consumption,decreases
Advances in food transportation lead to,greater variety of foods in remote areas
oceans contains most of earth 's,wet sustenance
Lungs are to hampsters as ________ are black tipped sharks.,gills
every four seasons a cedar expands it's,outer covering
One of tunas favorite prey is the,sardine
The elements changed America's tallest peaks into,loose rocks
Tropical storms get their fuel from the,ocean
Which would best store new whale offspring?,large aquarium
Who wrote Riders of the Purple Sage?,Zane Gray
What do baleen whales eat?,Krill
"What links Cheryl Cole, Dannii Minogue, and Sharon Osbourne?",X-Factor judges
Which Album cover features 5 Beatles?,Abbey Road
An apple seed contains which poisonous substance?,Cyanide
